"Company","Vessel Name","IMO"
"Nitta Kisen Kaisha, Ltd.","Ancash Queen","9700809"
"LSC SIA","Ance","9323314"
"Sejin Marine Co., Ltd.","Andalucian Zephyr","9667526"
"Euronav NV","Andaman","9739501"
"Canfornav Inc.","Andean","9413925"
"Aries Marine SA","Andes Queen","9667746"
"Eletson Corporation","Andimilos","9282998"
"Bright Charter Shipping Limited","Andrea Enterprise","9749946"
"Champion Tankers AS","Andrea Victory","9288849"
"Max Dodeka Shipping Corporation","Andreas K","9438121"
"Manson Construction Co.","Andrew","CG05832"
"Manson Construction Co.","Andrew","CG05832"
"Manson Construction Co.","Andrew","CG05832"
"Arbor Trading SA","Andromeda","9352561"
"Victory Faith SA","Andromeda","9315795"
"Proxima Y Limited","Andromeda","9692545"
"NYK Shiomanagement Pte. Ltd.","Andromeda Leader","9273909"
"Co., Ltd","Andromeda Spirit","9372327"
"Surf Navigation Ltd.","Andros","9505352"
"Bronco Marine Inc.","Andros Island","9720304"
"Splendor Shipholding SA","Anemos |","9327463"
"Anetos Maritime Ltd.","Anetos","9425760"
"Shanghai Dingheng Shipping Co., Ltd.","Angel No. 11","9486233"
"Diamlemos Shipping Corporation","Angelic Glory","9261798"
"Angeliki Charis Investment Corporation","Angelic Grace","9235232"
"Diamlemos Shipping Corporation","Angelic Peace","9250177"
"Sejin Marine Co., Ltd.","Angelic Zephyr","9700964"
"Bernhard Schulte Shipmanagement (Deutschland)","Angelica Schulte","9296822"
"Enyo Navigation Co.","Angelina","9218791"
"Angelique Shipholding SA","Angelina The Great N","9593725"
"Eletson Corporation","Angistri","9176773"
"Wall RO/RO AB","Aniara","9377494"
"lason Product Carrier SA","Anikitos","9710490"
"Schifffahrtsgesellschaft MS "Winter D" mbH & Co. K","ANL Barega","9323041"
"Cypress Maritime (Panama) SA","ANL Gippsland","9532800"
"Containers Services Inc.","ANL Tongala","9278105"
"Reederei Stefan Patiens GmbH & Co. KG","ANL Walwa","9317913"
"KG MS CPO Miami Offen Reederei UG Haftungbes","ANL Warragul","9445588"
"Kommanditgesellschaft MS CPO New York Offen R","ANL Warrnambool","9440772"
"Annastar Ventures Ltd.","Annastar","9620190"
"Euronav NV","Anne","9722936"
"Harley Marine Services, Inc.","Anne Elizabeth","1228172"
"Z. & G. Halcoussis Co. Ltd.","Annita","9282869"
"OMC Shipping Pte. Ltd.","Ansac Columbia","9791949"
"Wealth Ocean Ship Management (Shanghai) Co., Lt","Ansac Pride","9619737"
"Wealth Line Inc.","Anshun","9851347"
"Powerful Shipping SA","Antarctic","9315185"
"Super-Eco Tankers Management Inc.","Antares","9723019"
"Kirby Offshore Marine, LLC","Antares","1153165"
"Kirby Offshore Marine, LLC","Antares","1153165"
"Kirby Offshore Marine, LLC","Antares","1153165"
"NYK Shiomanagement Pte. Ltd.","Antares Leader","9539169"
"Martin Management S.A.M.","Ante Topic","9737072"
"Euronav NV","Antigone","9709075"
"Searoller Limited","Antigua |","9753363"
"Eletson Corporation","Antikeros","9281853"
"Antiparos Maritime Corporation","Antiparos","9600657"
"Novel Shipping Inc.","Antipolis","9792204"
"Marfin Management S.A.M.","Anton Topic","9107679"
"Antonis Ltd.","Antonis","9779953"
"Cook Inlet Tug and Barge, LLC","Antril S","1268451"
"Gladman Navigation Corporation Ltd.","Antwerpen","9318321"
"Mitsubishi Ore Transport Co., Ltd.","AOM Elena","9414888"
"Mitsubishi Ore Transport Co., Ltd.","AOM Sophie","9404766"
"Atlantska Plovidba D.D.","AP Libertas","9465734"
"Atlantska Plovidba D.D.","AP Revelin","9694696"
"Bayview Shipping Co. SA","Apache","9749489"
"NST Enterprise, SA","Aphrodite Leader","9335953"
"CMA CGM International Shipping Company Pte. Ltd","APL Barcelona","9462043"
"CMA CGM International Shipping Company Pte. Ltd","APL China","9074389"
"CMA CGM International Shipping Company Pte. Ltd","APL Chongaing","9461867"
"CMA CGM International Shipping Company Pte. Ltd","APL Columbus","9597525"
"CMA Ships","APL Danube","9674517"
"CMA CGM International Shipping Company Pte. Ltd","APL Detroit","9632208"
"CMA CGM International Shipping Company Pte. Ltd","APL Dublin","9601314"
"CMA CGM International Shipping Company Pte. Ltd","APL Esplanade","9632038"
"CMA CGM International Shipping Company Pte. Ltd","APL Fullerton","9632026"
"CMA CGM International Shipping Company Pte. Ltd","APL Houston","9597537"
"CMA CGM International Shipping Company Pte. Ltd","L Japan","9074391"
"CMA CGM International Shipping Company Pte. Ltd","Korea","9074535"
"CMA CGM International Shipping Company Pte. Ltd","APL Merlion","9632014"
"CMA CGM International Shipping Company Pte. Ltd","APL Mexico City","9632210"
"CMA CGM International Shipping Company Pte. Ltd","APL New York","9597484"
"CMA CGM International Shipping Company Pte. Ltd","APL Paris","9601302"
"CMA CGM International Shipping Company Pte. Ltd","APL Philippines","9077276"
"CMA CGM International Shipping Company Pte. Ltd","APL Phoenix","9597501"
"CMA CGM International Shipping Company Pte. Ltd","APL Qingdao","9461893"
"CMA CGM International Shipping Company Pte. Ltd","APL Salalah","9462029"
"CMA CGM International Shipping Company Pte. Ltd","APL Santiago","9597563"
"CMA CGM International Shipping Company Pte. Ltd","APL Sentosa","9632040"
"CMA CGM International Shipping Company Pte. Ltd","APL Singapore","9074547"
"CMA CGM International Shipping Company Pte. Ltd","APL Southampton","9462017"
"CMA CGM International Shipping Company Pte. Ltd","APL Temasek","9631955"
"CMA CGM International Shipping Company Pte. Ltd","APL Thailand","9077123"
"CMA CGM International Shipping Company Pte. Ltd","APL Vancouver","9597472"
"CMA CGM International Shipping Company Pte. Ltd","APL Yangshan","9462031"
"Far Southern Shipping Corporation","Apollo","9296793"
"Sincere Industrial Corporation","Apollo Bulker","9459151"
"Sea Pioneer SA","Apollon","9289532"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Apollon Highway","9728083"
"Mitsubishi Ore Transport Co., Ltd.","Apollon Leader","9402706"
"Apollonia Transportation Special Maritime Enterpris","Apollonia","9246645"
"Lorenzo Shipmanagement Inc.","Apostolos","9327451"
"Mezzo Investment Inc","Aprilia","9767041"
"Razorblade Inc.","Aquadisiac","9396713"
"Unisea Shipping Ltd.","Aqualeader","9592238"
"Unisea Shipping Ltd.","Aqualegacy","9601833"
"Unisea Shipping Ltd.","Aqualegend","9592240"
"Unisea Shipping Ltd.","Aqualiberty","9592226"
"Carras (Hellas) SA","Aqualibra","9765603"
"Unisea Shipping Ltd.","Aqualoyalty","9594664"
"Polar Express SA","Aquamarine Ace","9397987"
"Coral Shipping Corp.","Aquanaut","9242120"
"Carras (Hellas) SA","Aquapisces","9757022"
"Unisea Shipping Ltd.","Aquapuelche","9778727"
"NYK Shiomanagement Pte. Ltd.","Aquarius Leader","9158276"
"Chevron Transport Corporation Ltd.","Aquarius Voyager","9289491"
"Unisea Shipping Ltd.","Aquasurazo","9785720"
"Unisea Shipping Ltd.","Aquatravesia","9785732"
"Aquila Transportation Corp.","Aquila","9521473"
"Rado Limited","Aquila","1009962"
"Euronav NV","Aquitaine","9732577"
"Euronav NV","Arafura","9728708"
"Aragona Transportation Corp.","Aragona","9513115"
"Euronav NV","Aral","9732541"
"Carnival PLC, trading as P&O Cruises","Arcadia","9226906"
"Carnival PLC, trading as P&O Cruises","Arcadia","9226906"
"Carnival PLC, trading as P&O Cruises","Arcadia","9226906"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Arcadia Highway","9078842"
"Activity Excellence SA","Archangel","9302592"
"San Gabriel Investment Corporation","Archangelos Gabriel","9308998"
"Archimidis Container Carrier Corp.","Archimidis","9315379"
"Archon Product Carrier SA","Archon","9724611"
"Mercury Emerald SA","Arctic","9315173"
"MT "Arctic Bay" Tankschiffahrtsgesellschaft mbH &","Arctic Bay","9318034"
"Arctic Blizzard Shipping Limited","Arctic Blizzard","9350862"
"Arctic Breeze Shipping Limited","Arctic Breeze","9350850"
"Arctic Flounder Maritime LLC.","Arctic Flounder","9332638"
"Magenta Investments Limited","Arctic P","1006207"
"Stichting Greenpeace Council","Arctic Sunrise","7382902"
"Super-Eco Tankers Management Inc.","Arcturus","9162928"
"Euronav NV","Ardeche","9732565"
"Cromarty Shipco LLC","Ardmore Cherokee","9707845"
"Dogger Shipco LLC","Ardmore Cheyenne","9707857"
"Fisher Shipco LLC","Ardmore Chinook","9707869"
"Humber Shipco LLC","Ardmore Chippewa","9707871"
"OCY Dauntless Limited","Ardmore Dauntless","9707388"
"Lundy Shipco LLC","Ardmore Defender","9707390"
"Sea 111 Leasing Co. Limited","Ardmore Encounter","9654579"
"Trafalgar Shipco LLC","Ardmore Endeavour","9667942"
"Sea 47 Leasing Co. Limited","Ardmore Endurance","9654567"
"Rich Ocean Shipping Inc.","Ardmore Engineer","9654787"
"Sea 48 Leasing Co. Limited","Ardmore Enterprise","9654555"
"Sea 110 Leasing Co. Limited","Ardmore Explorer","9654581"
"Loyal Able International Holding Limited","Ardmore Exporter","9654775"
"Fastnet Shipco LLC","Ardmore Seafarer","9310161"
"Faroe Shipco LLC","Ardmore Seafox","9708215"
"Portland Shipco LLC","Ardmore Seahawk","9708239"
